targetLot,lot,vin,vehicle,price,date,miles,damage,title,condition,location,engine,drive,status,reserveMet,included,flags,source,checkedAt
"57882066","62658506","3KPFK4A73JE234584","2018 kia forte LX","2050","2026-09-15","61493","Vandalism","Salvage","Enhanced","Kansas City, KS","2.0L","FWD","Sold","Yes","false","titleDifferent; trimDifferent; runningUnknown","https://finalbid.vin/en/kia/forte/2018/copart-62658506-3KPFK4A73JE234584","2026-09-16"
"52447896","62658506","3KPFK4A73JE234584","2018 kia forte LX","2050","2026-09-15","61493","Vandalism","Salvage","Enhanced","Kansas City, KS","2.0L","FWD","Sold","Yes","false","titleDifferent; trimDifferent; mileageGap; runningUnknown","https://finalbid.vin/en/kia/forte/2018/copart-62658506-3KPFK4A73JE234584","2026-09-16"
"66814326","62380706","2HGFC4B54JH306957","2018 honda civic LX","4000","2026-09-16","49578","Front end","Salvage","Run & drive","Scranton, PA","2.0L","FWD","Sold","Yes","false","bodyUnverified","https://finalbid.vin/en/honda/civic/2018/copart-62380706-2HGFC4B54JH306957","2026-09-16"
"66814326","67748966","2HGFC2F52JH609346","2018 honda civic LX","5500","2026-09-15","133523","Front end","Salvage","Run & drive","San Diego, CA","2.0L","FWD","Sold","Yes","false","mileageGap","https://finalbid.vin/en/honda/civic/2018/copart-67748966-2HGFC2F52JH609346","2026-09-16"
"66814326","67458096","2HGFC2F55JH572339","2018 honda civic LX","3400","2026-09-15","12804","Front end + Side","Salvage","Engine starts","San Diego, CA","2.0L","FWD","Sold","Yes","false","mileageGap; runningUnknown","https://finalbid.vin/en/honda/civic/2018/copart-67458096-2HGFC2F55JH572339","2026-09-16"
"67463736","60562586","5YFBURHE4GP535737","2016 toyota corolla S PLUS","3050","2026-09-16","144232","Rear end","Salvage","Run & drive","Trenton, NJ","1.8L","FWD","Sold","Yes","true","","https://finalbid.vin/en/toyota/corolla/2016/copart-60562586-5YFBURHE4GP535737","2026-09-16"
"67463736","66247506","2T1BURHE6GC537277","2016 toyota corolla S PLUS","2350","2026-09-16","159813","Front end + Side","Clean","Enhanced","Freetown, MA","1.8L","FWD","Sold","Yes","false","titleDifferent; runningUnknown","https://finalbid.vin/en/toyota/corolla/2016/copart-66247506-2T1BURHE6GC537277","2026-09-16"
"67463736","45805179","5YFBURHE3GP544896","2016 toyota corolla S PLUS","2650","2026-09-16","157846","Front end","미표시","Run & drive","Houston, TX","1.8L","FWD","Sold","Yes","false","titleUnknown","https://finalbid.vin/en/toyota/corolla/2016/iaai-45805179-5YFBURHE3GP544896","2026-09-16"
"67824346","65123756","5YFBURHE2HP681636","2017 toyota corolla SE","3050","2026-09-16","162076","Front end + Side","Salvage","미표시","Spartanburg, SC","1.8L","FWD","Sold","Yes","false","runningUnknown","https://finalbid.vin/en/toyota/corolla/2017/copart-65123756-5YFBURHE2HP681636","2026-09-16"
"67824346","62300586","2T1BURHE8HC884143","2017 toyota corolla SE","4050","2026-09-15","113757","Front end","Salvage","Run & drive","Salt Lake City, UT","1.8L","FWD","Sold","Yes","true","","https://finalbid.vin/en/toyota/corolla/2017/copart-62300586-2T1BURHE8HC884143","2026-09-16"
"67824346","62574616","2T1BURHE1HC865689","2017 toyota corolla SE","1300","2026-09-16","171310","Front end","Salvage","Enhanced","Freetown, MA","1.8L","FWD","Sold","Yes","false","runningUnknown","https://finalbid.vin/en/toyota/corolla/2017/copart-62574616-2T1BURHE1HC865689","2026-09-16"
"68040146","66466206","2T3BF4DV4BW127501","2011 toyota rav4 ","3600","2026-09-15","94881","Side","Salvage","Run & drive","Somerville, NJ","2.5L","AWD","Sold","Yes","false","odometer; trimDifferent; driveDifferent","https://finalbid.vin/en/toyota/rav4/2011/copart-66466206-2T3BF4DV4BW127501","2026-09-16"
"68040146","66452206","2T3YF4DV4BW064765","2011 toyota rav4 LIMITED","2650","2026-09-15","103688","Rear end + Side","Salvage","Run & drive","Glassboro East, NJ","2.5L","FWD","Sold","Yes","false","trimDifferent","https://finalbid.vin/en/toyota/rav4/2011/copart-66452206-2T3YF4DV4BW064765","2026-09-16"
"68040146","68022306","2T3YK4DV9BW013760","2011 toyota rav4 LIMITED","1550","2026-09-15","131139","Front end + Undercarriage","Salvage","Run & drive","San Jose, CA","3.5L","FWD","Sold","Yes","false","trimDifferent; mileageGap; engineDifferent","https://finalbid.vin/en/toyota/rav4/2011/copart-68022306-2T3YK4DV9BW013760","2026-09-16"
"66708186","65187646","1HGCR2F3XFA086647","2015 honda accord LX","4500","2026-09-16","119817","Minor dents & scratches","Salvage","Run & drive","Dayton, OH","2.4L","FWD","Sold","Yes","true","","https://finalbid.vin/en/honda/accord/2015/copart-65187646-1HGCR2F3XFA086647","2026-09-16"
"66708186","63785726","1HGCR2F31FA090151","2015 honda accord LX","975","2026-09-16","160918","Front end + Side","Salvage","Enhanced","Atlanta North, GA","2.4L","FWD","Sold","Yes","false","runningUnknown","https://finalbid.vin/en/honda/accord/2015/copart-63785726-1HGCR2F31FA090151","2026-09-16"
"66708186","45942699","1HGCR2F3XFA200775","2015 honda accord LX","2550","2026-09-16","129753","Front end","미표시","Run & drive","Scott, LA","2.4L","FWD","Sold","Yes","false","titleUnknown","https://finalbid.vin/en/honda/accord/2015/iaai-45942699-1HGCR2F3XFA200775","2026-09-16"
"59820326","65281416","4T1B11HK7KU229350","2019 toyota camry SE","9300","2026-09-16","79825","Hail","Salvage","Run & drive","Springfield, MO","2.5L","FWD","Sold","Yes","true","","https://finalbid.vin/en/toyota/camry/2019/copart-65281416-4T1B11HK7KU229350","2026-09-16"
"59820326","50344226","4T1B11HK4KU705845","2019 toyota camry SE","3950","2026-09-16","129652","Front end","Salvage","Run & drive","Mebane, NC","2.5L","FWD","Sold","Yes","true","","https://finalbid.vin/en/toyota/camry/2019/copart-50344226-4T1B11HK4KU705845","2026-09-16"
